bank_name,task,fold_id,compound_id,self_compound_in_bank,alt_id_same_smiles_in_bank
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2020268,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2020428,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2020505,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2020634,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2020686,1,1
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2021026,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2021028,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2021575,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2021577,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2021600,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2021602,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2021650,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2021735,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2021739,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2021866,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2021941,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2021943,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2021947,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2022123,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2022171,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2022254,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2023430,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2023569,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2023723,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2023775,1,1
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2024086,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2024242,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2024664,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2024666,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2024955,1,0
