compound_id,dtxsid,name,smiles_final,qsar_ready_smiles,ms_ready_smiles,smiles_ctx,exclusion_reason
DTXSID2041703,DTXSID2041703,Butylnaphthalenesulfonic acid sodium salt,,,,,missing_smiles_final
DTXSID2045604,DTXSID2045604,Verteporfin,,,,,missing_smiles_final
DTXSID2045735,DTXSID2045735,Cochineal,,,,,missing_smiles_final
DTXSID2046414,DTXSID2046414,Muromonab-CD3,,,,,missing_smiles_final
DTXSID2047486,DTXSID2047486,Methoxybenzyl alcohol,,,,,missing_smiles_final
DTXSID2047517,DTXSID2047517,"Hexanedioic acid, di-C7-9-branched and linear alkyl esters",,,,,missing_smiles_final
DTXSID2047696,DTXSID2047696,Cremophor EL,,,,,missing_smiles_final
DTXSID2047721,DTXSID2047721,Petitgrain oil,,,,,missing_smiles_final
DTXSID2047800,DTXSID2047800,Bleomycin sulfate,,,,,missing_smiles_final
DTXSID2049470,DTXSID2049470,NTP Mix52 CT1 3-EQP,,,,,missing_smiles_final
DTXSID2049472,DTXSID2049472,NTP Mix53 CT1 3-EQP,,,,,missing_smiles_final
DTXSID2049474,DTXSID2049474,NTP Mix55 CT1 3-EQP,,,,,missing_smiles_final
DTXSID2049476,DTXSID2049476,NTP Mix40 CT1 3-EQP,,,,,missing_smiles_final
DTXSID2049478,DTXSID2049478,NTP Mix42 CT1 3-EQP,,,,,missing_smiles_final
DTXSID2049501,DTXSID2049501,NTP Mix8 AR1 8-7EQP,,,,,missing_smiles_final
DTXSID2049503,DTXSID2049503,NTP Mix10 AR1 8-7EQP,,,,,missing_smiles_final
DTXSID2049505,DTXSID2049505,NTP Mix12 AR1 8-7EQP,,,,,missing_smiles_final
DTXSID2049507,DTXSID2049507,NTP Mix14 AR1 8-GP,,,,,missing_smiles_final
DTXSID2049509,DTXSID2049509,NTP Mix16 AR1 8-GP,,,,,missing_smiles_final
DTXSID2049551,DTXSID2049551,NTP Mix21 AR2 2-EQP,,,,,missing_smiles_final
DTXSID2049553,DTXSID2049553,NTP Mix23 AR2 2-EQP,,,,,missing_smiles_final
DTXSID2049555,DTXSID2049555,NTP Mix25 AR2 2-EQP,,,,,missing_smiles_final
DTXSID2049557,DTXSID2049557,NTP Mix27 AR2 2-EQP,,,,,missing_smiles_final
DTXSID2049559,DTXSID2049559,NTP Mix28 AR2 3-EQP,,,,,missing_smiles_final
DTXSID20858868,DTXSID20858868,EPAMED_Water_Set2-2,,,,,missing_smiles_final
DTXSID20858883,DTXSID20858883,EPAMED_Water_Set2-17,,,,,missing_smiles_final
DTXSID20858888,DTXSID20858888,EPAMED_Water_Set2-22,,,,,missing_smiles_final
DTXSID20858904,DTXSID20858904,EPAMED_Water_Set2-38,,,,,missing_smiles_final
DTXSID20858909,DTXSID20858909,EPAMED_Water_Set2-43,,,,,missing_smiles_final
DTXSID20872706,DTXSID20872706,EPAMED_Water_Set3-1,,,,,missing_smiles_final
DTXSID20872721,DTXSID20872721,EPAMED_Water_Set3-16,,,,,missing_smiles_final
DTXSID20872726,DTXSID20872726,EPAMED_Water_Set3-21,,,,,missing_smiles_final
DTXSID20872741,DTXSID20872741,EPAMED_Water_Set3-36,,,,,missing_smiles_final
DTXSID20872746,DTXSID20872746,EPAMED_Water_Set3-41,,,,,missing_smiles_final
DTXSID20903827,DTXSID20903827,EPAMED_Water_Set4-3,,,,,missing_smiles_final
DTXSID20903842,DTXSID20903842,EPAMED_Water_Set4-18,,,,,missing_smiles_final
