memory_name,compound_id,name,domain,reference_group,label_source,ar_binding,tanimoto,murcko_scaffold,task,query_compound_id,query_name,query_delta_score
ar_support_v2,DTXSID1032484,Temephos,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.51428574,c1ccc(Sc2ccccc2)cc1,ar_binding,DTXSID8020620,Fenthion,0.6780911008516947
ar_support_v2,DTXSID1020855,Methyl parathion,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.425,c1ccccc1,ar_binding,DTXSID8020620,Fenthion,0.6780911008516947
ar_support_v2,DTXSID0047290,UK-416244,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.34615386,c1ccc(Oc2ccccc2)cc1,ar_binding,DTXSID8020620,Fenthion,0.6780911008516947
ar_support_v2,DTXSID3032626,Methiocarb,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.30232558,c1ccccc1,ar_binding,DTXSID8020620,Fenthion,0.6780911008516947
pollutant_only,DTXSID3026514,Phthalimide,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,0.0,0.45,O=C1NC(=O)c2ccccc21,ar_binding,DTXSID5040704,"1,4-Naphthoquinone",0.6537878791491191
pollutant_only,DTXSID7020425,Dichlone,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.42857143,O=C1C=CC(=O)c2ccccc21,ar_binding,DTXSID5040704,"1,4-Naphthoquinone",0.6537878791491191
pollutant_only,DTXSID5027198,N-Methylphthalimide,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,0.0,0.4090909,O=C1NC(=O)c2ccccc21,ar_binding,DTXSID5040704,"1,4-Naphthoquinone",0.6537878791491191
pollutant_only,DTXSID2041252,"1,4-Diamino-9,10-anthracenedione",pollutant,pollutant_only,ctx_target_mie_curated_endpoints,0.0,0.375,O=C1c2ccccc2C(=O)c2ccccc21,ar_binding,DTXSID5040704,"1,4-Naphthoquinone",0.6537878791491191
pollutant_only,DTXSID6020068,2-Aminoanthraquinone,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,0.0,0.34615386,O=C1c2ccccc2C(=O)c2ccccc21,ar_binding,DTXSID5040704,"1,4-Naphthoquinone",0.6537878791491191
natural_product,CHEMBL274318,FLAVANONE,natural_product,natural_product,chembl_source_target_mie_curated,0.0,0.28125,O=C1CC(c2ccccc2)Oc2ccccc21,ar_binding,DTXSID5040704,"1,4-Naphthoquinone",0.6537878791491191
