memory_name,compound_id,name,domain,reference_group,label_source,esr1_binding,tanimoto,murcko_scaffold,task,query_compound_id,query_name,query_delta_score,ar_binding
generic_bioactive,CHEMBL3422052,CHEMBL3422052,generic_bioactive,generic_bioactive,chembl_source_target_mie_curated,1.0,0.31707317,C(=C(c1ccccc1)c1ccccc1)c1ccccc1,esr1_binding,DTXSID5040708,4-Hexylaniline,0.7783656618718247,
generic_bioactive,CHEMBL3948254,CHEMBL3948254,generic_bioactive,generic_bioactive,chembl_source_target_mie_curated,1.0,0.2972973,C(=C(c1ccccc1)c1ccccc1)c1ccccc1,esr1_binding,DTXSID5040708,4-Hexylaniline,0.7783656618718247,
generic_bioactive,CHEMBL3422051,CHEMBL3422051,generic_bioactive,generic_bioactive,chembl_source_target_mie_curated,1.0,0.2888889,C(=C(c1ccccc1)c1ccccc1)c1ccccc1,esr1_binding,DTXSID5040708,4-Hexylaniline,0.7783656618718247,
generic_bioactive,CHEMBL5440307,CHEMBL5440307,generic_bioactive,generic_bioactive,chembl_source_target_mie_curated,1.0,0.28125,c1ccccc1,esr1_binding,DTXSID5040708,4-Hexylaniline,0.7783656618718247,
generic_bioactive,CHEMBL318496,CHEMBL318496,generic_bioactive,generic_bioactive,chembl_source_target_mie_curated,1.0,0.27450982,O=C(c1ccccc1)c1cc2ccccc2o1,esr1_binding,DTXSID5040708,4-Hexylaniline,0.7783656618718247,
mixed,DTXSID0040707,4-Pentylaniline,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.95454544,c1ccccc1,esr1_binding,DTXSID5040708,4-Hexylaniline,0.7783656618718247,
mixed,DTXSID8021856,4-Butylaniline,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,0.0,0.82608694,c1ccccc1,esr1_binding,DTXSID5040708,4-Hexylaniline,0.7783656618718247,
mixed,DTXSID5048180,4-Propylaniline,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,0.0,0.6666667,c1ccccc1,esr1_binding,DTXSID5040708,4-Hexylaniline,0.7783656618718247,
mixed,DTXSID6048206,4-Chloropentylbenzene,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,0.0,0.65384614,c1ccccc1,esr1_binding,DTXSID5040708,4-Hexylaniline,0.7783656618718247,
mixed,DTXSID5033836,4-Nonylphenol,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.6296296,c1ccccc1,esr1_binding,DTXSID5040708,4-Hexylaniline,0.7783656618718247,
pollutant_only,DTXSID8021301,Tamoxifen citrate,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.7380952,C(=C(c1ccccc1)c1ccccc1)c1ccccc1,esr1_binding,DTXSID2021367,Toremifene citrate,0.7709709723790487,
pollutant_only,DTXSID1034187,Tamoxifen,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.7380952,C(=C(c1ccccc1)c1ccccc1)c1ccccc1,esr1_binding,DTXSID2021367,Toremifene citrate,0.7709709723790487,
pollutant_only,DTXSID3037094,4-Hydroxytamoxifen,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.67391306,C(=C(c1ccccc1)c1ccccc1)c1ccccc1,esr1_binding,DTXSID2021367,Toremifene citrate,0.7709709723790487,
pollutant_only,DTXSID8020337,Clomiphene citrate (1:1),pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.5102041,C(=C(c1ccccc1)c1ccccc1)c1ccccc1,esr1_binding,DTXSID2021367,Toremifene citrate,0.7709709723790487,
pollutant_only,DTXSID5023796,Pentamidine isethionate,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,0.0,0.35555556,c1ccc(OCCCCCOc2ccccc2)cc1,esr1_binding,DTXSID2021367,Toremifene citrate,0.7709709723790487,
generic_bioactive,CHEMBL1402,4-HYDROXYTORMIFENE,generic_bioactive,generic_bioactive,chembl_source_target_mie_curated,1.0,0.9047619,C(=C(c1ccccc1)c1ccccc1)c1ccccc1,esr1_binding,DTXSID2021367,Toremifene citrate,0.7709709723790487,
generic_bioactive,CHEMBL383112,CHEMBL383112,generic_bioactive,generic_bioactive,chembl_source_target_mie_curated,1.0,0.8,C(=C(c1ccccc1)c1ccccc1)c1ccccc1,esr1_binding,DTXSID2021367,Toremifene citrate,0.7709709723790487,
generic_bioactive,CHEMBL83,TAMOXIFEN,generic_bioactive,generic_bioactive,chembl_source_target_mie_curated,1.0,0.7380952,C(=C(c1ccccc1)c1ccccc1)c1ccccc1,esr1_binding,DTXSID2021367,Toremifene citrate,0.7709709723790487,
generic_bioactive,CHEMBL204376,CHEMBL204376,generic_bioactive,generic_bioactive,chembl_source_target_mie_curated,1.0,0.7173913,C(=C(c1ccccc1)c1ccccc1)c1ccccc1,esr1_binding,DTXSID2021367,Toremifene citrate,0.7709709723790487,
generic_bioactive,CHEMBL201013,CHEMBL201013,generic_bioactive,generic_bioactive,chembl_source_target_mie_curated,1.0,0.6875,C(=C(c1ccccc1)c1ccccc1)c1ccccc1,esr1_binding,DTXSID2021367,Toremifene citrate,0.7709709723790487,
mixed,CHEMBL1402,4-HYDROXYTORMIFENE,generic_bioactive,generic_bioactive,chembl_source_target_mie_curated,1.0,0.9047619,C(=C(c1ccccc1)c1ccccc1)c1ccccc1,esr1_binding,DTXSID2021367,Toremifene citrate,0.7709709723790487,
mixed,CHEMBL383112,CHEMBL383112,generic_bioactive,generic_bioactive,chembl_source_target_mie_curated,1.0,0.8,C(=C(c1ccccc1)c1ccccc1)c1ccccc1,esr1_binding,DTXSID2021367,Toremifene citrate,0.7709709723790487,
mixed,CHEMBL83,TAMOXIFEN,generic_bioactive,generic_bioactive,chembl_source_target_mie_curated,1.0,0.7380952,C(=C(c1ccccc1)c1ccccc1)c1ccccc1,esr1_binding,DTXSID2021367,Toremifene citrate,0.7709709723790487,
mixed,DTXSID8021301,Tamoxifen citrate,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.7380952,C(=C(c1ccccc1)c1ccccc1)c1ccccc1,esr1_binding,DTXSID2021367,Toremifene citrate,0.7709709723790487,
mixed,DTXSID1034187,Tamoxifen,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.7380952,C(=C(c1ccccc1)c1ccccc1)c1ccccc1,esr1_binding,DTXSID2021367,Toremifene citrate,0.7709709723790487,
pollutant_only,DTXSID3044590,C.I. Solvent Red 43,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,1.0,O=C1OC2(c3ccccc3Oc3ccccc32)c2ccccc21,esr1_binding,DTXSID0025234,Eosin,0.7501763224601745,
pollutant_only,DTXSID7021233,FD&C Red 3,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,0.0,0.6086956,O=C1OC2(c3ccccc3Oc3ccccc32)c2ccccc21,esr1_binding,DTXSID0025234,Eosin,0.7501763224601745,
pollutant_only,DTXSID0038887,Fluorescein,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.53333336,O=C1OC2(c3ccccc3Oc3ccccc32)c2ccccc21,esr1_binding,DTXSID0025234,Eosin,0.7501763224601745,
pollutant_only,DTXSID0021125,Phenolphthalein,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.5116279,O=C1OC(c2ccccc2)(c2ccccc2)c2ccccc21,esr1_binding,DTXSID0025234,Eosin,0.7501763224601745,
pollutant_only,DTXSID6041682,Bromophenol blue,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,0.0,0.39215687,O=S1(=O)OC(c2ccccc2)(c2ccccc2)c2ccccc21,esr1_binding,DTXSID0025234,Eosin,0.7501763224601745,
generic_bioactive,CHEMBL25228,CHEMBL25228,generic_bioactive,generic_bioactive,chembl_source_target_mie_curated,1.0,0.33962265,O=C1c2ccccc2C(=O)C12C(c1ccccc1)=Cc1ccccc12,esr1_binding,DTXSID0025234,Eosin,0.7501763224601745,
generic_bioactive,CHEMBL25580,CHEMBL25580,generic_bioactive,generic_bioactive,chembl_source_target_mie_curated,1.0,0.30357143,O=C1c2ccccc2C(=O)C12C(c1ccccc1)=Cc1ccccc12,esr1_binding,DTXSID0025234,Eosin,0.7501763224601745,
generic_bioactive,CHEMBL193207,CHEMBL193207,generic_bioactive,generic_bioactive,chembl_source_target_mie_curated,1.0,0.2857143,O=C1C(c2ccccc2)=Cc2ccccc21,esr1_binding,DTXSID0025234,Eosin,0.7501763224601745,
generic_bioactive,CHEMBL214972,CHEMBL214972,generic_bioactive,generic_bioactive,chembl_source_target_mie_curated,1.0,0.28125,O=C1CCC2(Cc3ccccc3)Cc3ccccc3C2=C1c1ccccc1,esr1_binding,DTXSID0025234,Eosin,0.7501763224601745,
generic_bioactive,CHEMBL363872,CHEMBL363872,generic_bioactive,generic_bioactive,chembl_source_target_mie_curated,1.0,0.27450982,O=C1C(c2ccccc2)=Cc2ccccc21,esr1_binding,DTXSID0025234,Eosin,0.7501763224601745,
mixed,DTXSID3044590,C.I. Solvent Red 43,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,1.0,O=C1OC2(c3ccccc3Oc3ccccc32)c2ccccc21,esr1_binding,DTXSID0025234,Eosin,0.7501763224601745,
mixed,DTXSID7021233,FD&C Red 3,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,0.0,0.6086956,O=C1OC2(c3ccccc3Oc3ccccc32)c2ccccc21,esr1_binding,DTXSID0025234,Eosin,0.7501763224601745,
mixed,DTXSID0038887,Fluorescein,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.53333336,O=C1OC2(c3ccccc3Oc3ccccc32)c2ccccc21,esr1_binding,DTXSID0025234,Eosin,0.7501763224601745,
mixed,DTXSID0021125,Phenolphthalein,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.5116279,O=C1OC(c2ccccc2)(c2ccccc2)c2ccccc21,esr1_binding,DTXSID0025234,Eosin,0.7501763224601745,
mixed,DTXSID6041682,Bromophenol blue,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,0.0,0.39215687,O=S1(=O)OC(c2ccccc2)(c2ccccc2)c2ccccc21,esr1_binding,DTXSID0025234,Eosin,0.7501763224601745,
pollutant_only,DTXSID0025234,Eosin,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,1.0,O=C1OC2(c3ccccc3Oc3ccccc32)c2ccccc21,esr1_binding,DTXSID3044590,C.I. Solvent Red 43,0.7501763224601745,
pollutant_only,DTXSID7021233,FD&C Red 3,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,0.0,0.6086956,O=C1OC2(c3ccccc3Oc3ccccc32)c2ccccc21,esr1_binding,DTXSID3044590,C.I. Solvent Red 43,0.7501763224601745,
pollutant_only,DTXSID0038887,Fluorescein,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.53333336,O=C1OC2(c3ccccc3Oc3ccccc32)c2ccccc21,esr1_binding,DTXSID3044590,C.I. Solvent Red 43,0.7501763224601745,
pollutant_only,DTXSID0021125,Phenolphthalein,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.5116279,O=C1OC(c2ccccc2)(c2ccccc2)c2ccccc21,esr1_binding,DTXSID3044590,C.I. Solvent Red 43,0.7501763224601745,
pollutant_only,DTXSID6041682,Bromophenol blue,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,0.0,0.39215687,O=S1(=O)OC(c2ccccc2)(c2ccccc2)c2ccccc21,esr1_binding,DTXSID3044590,C.I. Solvent Red 43,0.7501763224601745,
generic_bioactive,CHEMBL25228,CHEMBL25228,generic_bioactive,generic_bioactive,chembl_source_target_mie_curated,1.0,0.33962265,O=C1c2ccccc2C(=O)C12C(c1ccccc1)=Cc1ccccc12,esr1_binding,DTXSID3044590,C.I. Solvent Red 43,0.7501763224601745,
generic_bioactive,CHEMBL25580,CHEMBL25580,generic_bioactive,generic_bioactive,chembl_source_target_mie_curated,1.0,0.30357143,O=C1c2ccccc2C(=O)C12C(c1ccccc1)=Cc1ccccc12,esr1_binding,DTXSID3044590,C.I. Solvent Red 43,0.7501763224601745,
generic_bioactive,CHEMBL193207,CHEMBL193207,generic_bioactive,generic_bioactive,chembl_source_target_mie_curated,1.0,0.2857143,O=C1C(c2ccccc2)=Cc2ccccc21,esr1_binding,DTXSID3044590,C.I. Solvent Red 43,0.7501763224601745,
generic_bioactive,CHEMBL214972,CHEMBL214972,generic_bioactive,generic_bioactive,chembl_source_target_mie_curated,1.0,0.28125,O=C1CCC2(Cc3ccccc3)Cc3ccccc3C2=C1c1ccccc1,esr1_binding,DTXSID3044590,C.I. Solvent Red 43,0.7501763224601745,
generic_bioactive,CHEMBL363872,CHEMBL363872,generic_bioactive,generic_bioactive,chembl_source_target_mie_curated,1.0,0.27450982,O=C1C(c2ccccc2)=Cc2ccccc21,esr1_binding,DTXSID3044590,C.I. Solvent Red 43,0.7501763224601745,
mixed,DTXSID0025234,Eosin,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,1.0,O=C1OC2(c3ccccc3Oc3ccccc32)c2ccccc21,esr1_binding,DTXSID3044590,C.I. Solvent Red 43,0.7501763224601745,
mixed,DTXSID7021233,FD&C Red 3,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,0.0,0.6086956,O=C1OC2(c3ccccc3Oc3ccccc32)c2ccccc21,esr1_binding,DTXSID3044590,C.I. Solvent Red 43,0.7501763224601745,
mixed,DTXSID0038887,Fluorescein,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.53333336,O=C1OC2(c3ccccc3Oc3ccccc32)c2ccccc21,esr1_binding,DTXSID3044590,C.I. Solvent Red 43,0.7501763224601745,
mixed,DTXSID0021125,Phenolphthalein,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.5116279,O=C1OC(c2ccccc2)(c2ccccc2)c2ccccc21,esr1_binding,DTXSID3044590,C.I. Solvent Red 43,0.7501763224601745,
mixed,DTXSID6041682,Bromophenol blue,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,0.0,0.39215687,O=S1(=O)OC(c2ccccc2)(c2ccccc2)c2ccccc21,esr1_binding,DTXSID3044590,C.I. Solvent Red 43,0.7501763224601745,
